t(c)	theta(grad)
1.400	85.000
1.410	85.000
1.420	85.000
1.430	85.000
1.440	85.000
1.450	85.000
1.460	85.000
1.470	85.000
1.480	85.000
1.490	85.000
1.500	85.000
1.510	85.000
1.520	85.000
1.530	85.000
1.540	85.000
1.550	85.000
1.560	85.000
1.570	85.000
1.580	85.000
1.590	85.000
1.600	85.000
1.610	85.000
1.620	85.000
1.630	85.000
1.640	85.000
1.650	85.000
1.660	85.000
1.670	85.000
1.680	85.000
1.690	85.000
1.700	85.000
1.710	85.000
1.720	85.000
1.730	85.000
1.740	85.000
1.750	85.000
1.760	85.000
1.770	85.000
1.780	85.000
1.790	85.000
1.800	85.000
1.810	85.000
1.820	85.000
1.830	85.000
1.840	85.000
1.850	85.000
1.860	85.000
1.870	85.000
1.880	85.000
1.890	85.000
1.900	85.000
1.910	85.000
1.920	85.000
1.930	85.000
1.940	85.000
1.950	85.000
1.960	85.000
1.970	85.000
1.980	85.000
1.990	85.000
2.000	85.000
2.010	85.000
2.020	85.000
2.030	85.000
2.040	85.000
2.050	85.000
2.060	85.000
2.070	85.000
2.080	85.000
2.090	85.000
2.100	85.000
2.110	85.000
2.120	85.000
2.130	85.000
2.140	85.000
2.150	85.000
2.160	85.000
2.170	85.000
2.180	85.000
2.190	85.000
2.200	85.000
2.210	85.000
2.220	85.000
2.230	85.000
2.240	85.000
2.250	85.000
2.260	85.000
2.270	85.000
2.280	85.000
2.290	85.000
2.300	85.000
2.310	85.000
2.320	85.000
2.330	85.000
2.340	85.000
2.350	85.000
2.360	85.000
2.370	85.000
2.380	85.000
2.390	85.000
2.400	85.000
2.410	85.000
2.420	85.000
2.430	85.000
2.440	85.000
2.450	85.000
2.460	85.000
2.470	85.000
2.480	85.000
2.490	85.000
2.500	85.000
2.510	85.000
2.520	85.000
2.530	85.000
2.540	85.000
2.550	85.000
2.560	85.000
2.570	85.000
2.580	85.000
2.590	85.000
2.600	85.000
2.610	85.000
2.620	85.000
2.630	85.000
2.640	85.000
2.650	85.000
2.660	85.000
2.670	85.000
2.680	85.000
2.690	85.000
2.700	85.000
2.710	85.000
2.720	85.000
2.730	85.000
2.740	85.000
2.750	85.000
2.760	85.000
2.770	85.000
2.780	85.000
2.790	85.000
2.800	85.000
2.810	85.000
2.820	85.000
2.830	85.000
2.840	85.000
2.850	85.000
2.860	85.000
2.870	85.000
2.880	85.000
2.890	85.000
2.900	85.000
2.910	85.000
2.920	85.000
2.930	85.000
2.940	85.000
2.950	85.000
2.960	85.000
2.970	85.000
2.980	85.000
2.990	85.000
3.000	85.000
3.010	85.000
3.020	85.000
3.030	85.000
3.040	85.000
3.050	85.000
3.060	85.000
3.070	85.000
3.080	85.000
3.090	85.000
3.100	85.000
3.110	85.000
3.120	85.000
3.130	85.000
3.140	85.000
3.150	85.000
3.160	85.000
3.170	85.000
3.180	85.000
3.190	85.000
3.200	85.000
3.210	85.000
3.220	85.000
3.230	85.000
3.240	85.000
3.250	85.000
3.260	85.000
3.270	85.000
3.280	85.000
3.290	85.000
3.300	85.000
3.310	85.000
3.320	85.000
3.330	85.000
3.340	85.000
3.350	85.000
3.360	85.000
3.370	85.000
3.380	85.000
3.390	85.000
3.400	85.000
3.410	85.000
3.420	85.000
3.430	85.000
3.440	85.000
3.450	85.000
3.460	85.000
3.470	85.000
3.480	85.000
3.490	85.000
3.500	85.000
3.510	85.000
3.520	85.000
3.530	85.000
3.540	85.000
3.550	85.000
3.560	85.000
3.570	85.000
3.580	85.000
3.590	85.000
3.600	85.000
3.610	85.000
3.620	85.000
3.630	85.000
3.640	85.000
3.650	85.000
3.660	85.000
3.670	85.000
3.680	85.000
3.690	85.000
3.700	85.000
3.710	85.000
3.720	85.000
3.730	85.000
3.740	85.000
3.750	85.000
3.760	85.000
3.770	85.000
3.780	85.000
3.790	85.000
3.800	85.000
3.810	85.000
3.820	85.000
3.830	85.000
3.840	85.000
3.850	85.000
3.860	85.000
3.870	85.000
3.880	85.000
3.890	85.000
3.900	85.000
3.910	85.000
3.920	85.000
3.930	85.000
3.940	85.000
3.950	85.000
3.960	85.000
3.970	85.000
3.980	85.000
3.990	85.000
4.000	85.000
4.010	85.000
4.020	85.000
4.030	85.000
4.040	85.000
4.050	85.000
4.060	85.000
4.070	85.000
4.080	85.000
4.090	85.000
4.100	85.000
4.110	85.000
4.120	85.000
4.130	85.000
4.140	85.000
4.150	85.000
4.160	85.000
4.170	85.000
4.180	85.000
4.190	85.000
4.200	85.000
4.210	85.000
4.220	85.000
4.230	85.000
4.240	85.000
4.250	85.000
4.260	85.000
4.270	85.000
4.280	85.000
4.290	85.000
4.300	85.000
4.310	85.000
4.320	85.000
4.330	85.000
4.340	85.000
4.350	85.000
4.360	85.000
4.370	85.000
4.380	85.000
4.390	85.000
4.400	85.000
4.410	85.000
4.420	85.000
4.430	85.000
4.440	85.000
4.450	85.000
4.460	85.000
4.470	85.000
4.480	85.000
4.490	85.000
4.500	85.000
4.510	85.000
4.520	85.000
4.530	85.000
4.540	85.000
4.550	85.000
4.560	85.000
4.570	85.000
4.580	85.000
4.590	85.000
4.600	85.000
4.610	85.000
4.620	85.000
4.630	85.000
4.640	85.000
4.650	85.000
4.660	85.000
4.670	85.000
4.680	85.000
4.690	85.000
4.700	85.000
4.710	85.000
4.720	85.000
4.730	85.000
4.740	85.000
4.750	85.000
4.760	85.000
4.770	85.000
4.780	85.000
4.790	85.000
4.800	85.000
4.810	85.000
4.820	85.000
4.830	85.000
4.840	85.000
4.850	85.000
4.860	85.000
4.870	85.000
4.880	85.000
4.890	85.000
4.900	85.000
4.910	85.000
4.920	85.000
4.930	85.000
4.940	85.000
4.950	85.000
4.960	85.000
4.970	85.000
4.980	85.000
4.990	85.000
5.000	85.000
5.010	85.000
5.020	85.000
5.030	85.000
5.040	85.000
5.050	85.000
5.060	85.000
5.070	85.000
5.080	85.000
5.090	85.000
5.100	85.000
5.110	85.000
5.120	85.000
5.130	85.000
5.140	85.000
5.150	85.000
5.160	85.000
5.170	85.000
5.180	85.000
5.190	85.000
5.200	85.000
5.210	85.000
5.220	85.000
5.230	85.000
5.240	85.000
5.250	85.000
5.260	85.000
5.270	85.000
5.280	85.000
5.290	85.000
5.300	85.000
5.310	85.000
5.320	85.000
5.330	85.000
5.340	85.000
5.350	85.000
5.360	85.000
5.370	85.000
5.380	85.000
5.390	85.000
5.400	85.000
5.410	85.000
5.420	85.000
5.430	85.000
5.440	85.000
5.450	85.000
5.460	85.000
5.470	85.000
5.480	85.000
5.490	85.000
5.500	85.000
5.510	85.000
5.520	85.000
5.530	85.000
5.540	85.000
5.550	85.000
5.560	85.000
5.570	85.000
5.580	85.000
5.590	85.000
5.600	85.000
5.610	85.000
5.620	85.000
5.630	85.000
5.640	85.000
5.650	85.000
5.660	85.000
5.670	85.000
5.680	85.000
5.690	85.000
5.700	85.000
5.710	85.000
5.720	85.000
5.730	85.000
5.740	85.000
5.750	85.000
5.760	85.000
5.770	85.000
5.780	85.000
5.790	85.000
5.800	85.000
5.810	85.000
5.820	85.000
5.830	85.000
5.840	85.000
5.850	85.000
5.860	85.000
5.870	85.000
5.880	85.000
5.890	85.000
5.900	85.000
5.910	85.000
5.920	85.000
5.930	85.000
5.940	85.000
5.950	85.000
5.960	85.000
5.970	85.000
5.980	85.000
5.990	85.000
6.000	85.000
6.010	85.000
6.020	85.000
6.030	85.000
6.040	85.000
6.050	85.000
6.060	85.000
6.070	85.000
6.080	85.000
6.090	85.000
6.100	85.000
6.110	85.000
6.120	85.000
6.130	85.000
6.140	85.000
6.150	85.000
6.160	85.000
6.170	85.000
6.180	85.000
6.190	85.000
6.200	85.000
6.210	85.000
6.220	85.000
6.230	85.000
6.240	85.000
6.250	85.000
6.260	85.000
6.270	85.000
6.280	85.000
6.290	85.000
6.300	85.000
6.310	85.000
6.320	85.000
6.330	85.000
6.340	85.000
6.350	85.000
6.360	85.000
6.370	85.000
6.380	85.000
6.390	85.000
6.400	85.000
6.410	85.000
6.420	85.000
6.430	85.000
6.440	85.000
6.450	85.000
6.460	85.000
6.470	85.000
6.480	85.000
6.490	85.000
6.500	85.000
6.510	85.000
6.520	85.000
6.530	85.000
6.540	85.000
6.550	85.000
6.560	85.000
6.570	85.000
6.580	85.000
6.590	85.000
6.600	85.000
6.610	85.000
6.620	85.000
6.630	85.000
6.640	85.000
6.650	85.000
6.660	85.000
6.670	85.000
6.680	85.000
6.690	85.000
6.700	85.000
6.710	85.000
6.720	85.000
6.730	85.000
6.740	85.000
6.750	85.000
6.760	85.000
6.770	85.000
6.780	85.000
6.790	85.000
6.800	85.000
6.810	85.000
6.820	85.000
6.830	85.000
6.840	85.000
6.850	85.000
6.860	85.000
6.870	85.000
6.880	85.000
6.890	85.000
6.900	85.000
6.910	85.000
6.920	85.000
6.930	85.000
6.940	85.000
6.950	85.000
6.960	85.000
6.970	85.000
6.980	85.000
6.990	85.000
7.000	85.000
7.010	85.000
7.020	85.000
7.030	85.000
7.040	85.000
7.050	85.000
7.060	85.000
7.070	85.000
7.080	85.000
7.090	85.000
7.100	85.000
7.110	85.000
7.120	85.000
7.130	85.000
7.140	85.000
7.150	85.000
7.160	85.000
7.170	85.000
7.180	85.000
7.190	85.000
7.200	85.000
7.210	85.000
7.220	85.000
7.230	85.000
7.240	85.000
7.250	85.000
7.260	85.000
7.270	85.000
7.280	85.000
7.290	85.000
7.300	85.000
7.310	85.000
7.320	85.000
7.330	85.000
7.340	85.000
7.350	85.000
7.360	85.000
7.370	85.000
7.380	85.000
7.390	85.000
7.400	85.000
7.410	85.000
7.420	85.000
7.430	85.000
7.440	85.000
7.450	85.000
7.460	85.000
7.470	85.000
7.480	85.000
7.490	85.000
7.500	85.000
7.510	85.000
7.520	85.000
7.530	85.000
7.540	85.000
7.550	85.000
7.560	85.000
7.570	85.000
7.580	85.000
7.590	85.000
7.600	85.000
7.610	85.000
7.620	85.000
7.630	85.000
7.640	85.000
7.650	85.000
7.660	85.000
7.670	85.000
7.680	85.000
7.690	85.000
7.700	85.000
7.710	85.000
7.720	85.000
7.730	85.000
7.740	85.000
7.750	85.000
7.760	85.000
7.770	85.000
7.780	85.000
7.790	85.000
7.800	85.000
7.810	85.000
7.820	85.000
7.830	85.000
7.840	85.000
7.850	85.000
7.860	85.000
7.870	85.000
7.880	85.000
7.890	85.000
7.900	85.000
7.910	85.000
7.920	85.000
7.930	85.000
7.940	85.000
7.950	85.000
7.960	85.000
7.970	85.000
7.980	85.000
7.990	85.000
8.000	85.000
8.010	85.000
8.020	85.000
8.030	85.000
8.040	85.000
8.050	85.000
8.060	85.000
8.070	85.000
8.080	85.000
8.090	85.000
8.100	85.000
8.110	85.000
8.120	85.000
8.130	85.000
8.140	85.000
8.150	85.000
8.160	85.000
8.170	85.000
8.180	85.000
8.190	85.000
8.200	85.000
8.210	85.000
8.220	85.000
8.230	85.000
8.240	85.000
8.250	85.000
8.260	85.000
8.270	85.000
8.280	85.000
8.290	85.000
8.300	85.000
8.310	85.000
8.320	85.000
8.330	85.000
8.340	85.000
8.350	85.000
8.360	85.000
8.370	85.000
8.380	85.000
8.390	85.000
8.400	85.000
8.410	85.000
8.420	85.000
8.430	85.000
8.440	85.000
8.450	85.000
8.460	85.000
8.470	85.000
8.480	85.000
8.490	85.000
8.500	85.000
8.510	85.000
8.520	85.000
8.530	85.000
8.540	85.000
8.550	85.000
8.560	85.000
8.570	85.000
8.580	85.000
8.590	85.000
8.600	85.000
8.610	85.000
8.620	85.000
8.630	85.000
8.640	85.000
8.650	85.000
8.660	85.000
8.670	85.000
8.680	85.000
8.690	85.000
8.700	85.000
8.710	85.000
8.720	85.000
8.730	85.000
8.740	85.000
8.750	85.000
8.760	85.000
8.770	85.000
8.780	85.000
8.790	85.000
8.800	85.000
8.810	85.000
8.820	85.000
8.830	85.000
8.840	85.000
8.850	85.000
8.860	85.000
8.870	85.000
8.880	85.000
8.890	85.000
8.900	85.000
8.910	85.000
8.920	85.000
8.930	85.000
8.940	85.000
8.950	85.000
8.960	85.000
8.970	85.000
8.980	85.000
8.990	85.000
9.000	85.000
9.010	85.000
9.020	85.000
9.030	85.000
9.040	85.000
9.050	85.000
9.060	85.000
9.070	85.000
9.080	85.000
9.090	85.000
9.100	85.000
9.110	85.000
9.120	85.000
9.130	85.000
9.140	85.000
9.150	85.000
9.160	85.000
9.170	85.000
9.180	85.000
9.190	85.000
9.200	85.000
9.210	85.000
9.220	85.000
9.230	85.000
9.240	85.000
9.250	85.000
9.260	85.000
9.270	85.000
9.280	85.000
9.290	85.000
9.300	85.000
9.310	85.000
9.320	85.000
9.330	85.000
9.340	85.000
9.350	85.000
9.360	85.000
9.370	85.000
9.380	85.000
9.390	85.000
9.400	85.000
9.410	85.000
9.420	85.000
9.430	85.000
9.440	85.000
9.450	85.000
9.460	85.000
9.470	85.000
9.480	85.000
9.490	85.000
9.500	85.000
9.510	85.000
9.520	85.000
9.530	85.000
9.540	85.000
9.550	85.000
9.560	85.000
9.570	85.000
9.580	85.000
9.590	85.000
9.600	85.000
9.610	85.000
9.620	85.000
9.630	85.000
9.640	85.000
9.650	85.000
9.660	85.000
9.670	85.000
9.680	85.000
9.690	85.000
9.700	85.000
9.710	85.000
9.720	85.000
9.730	85.000
9.740	85.000
9.750	85.000
9.760	85.000
9.770	85.000
9.780	85.000
9.790	85.000
9.800	85.000
9.810	85.000
9.820	85.000
9.830	85.000
9.840	85.000
9.850	85.000
9.860	85.000
9.870	85.000
9.880	85.000
9.890	85.000
9.900	85.000
9.910	85.000
9.920	85.000
9.930	85.000
9.940	85.000
9.950	85.000
9.960	85.000
9.970	85.000
9.980	85.000
9.990	85.000
10.000	85.000
10.010	85.000
10.020	85.000
10.030	85.000
10.040	85.000
10.050	85.000
10.060	85.000
10.070	85.000
10.080	85.000
10.090	85.000
10.100	85.000
10.110	85.000
10.120	85.000
10.130	85.000
10.140	85.000
10.150	85.000
10.160	85.000
10.170	85.000
10.180	85.000
10.190	85.000
10.200	85.000
10.210	85.000
10.220	85.000
10.230	85.000
10.240	85.000
10.250	85.000
10.260	85.000
10.270	85.000
10.280	85.000
10.290	85.000
10.300	85.000
10.310	85.000
10.320	85.000
10.330	85.000
10.340	85.000
10.350	85.000
10.360	85.000
10.370	85.000
10.380	85.000
10.390	85.000
10.400	85.000
10.410	85.000
10.420	85.000
10.430	85.000
10.440	85.000
10.450	85.000
10.460	85.000
10.470	85.000
10.480	85.000
10.490	85.000
10.500	85.000
10.510	85.000
10.520	85.000
10.530	85.000
10.540	85.000
10.550	85.000
10.560	85.000
10.570	85.000
10.580	85.000
10.590	85.000
10.600	85.000
10.610	85.000
10.620	85.000
10.630	85.000
10.640	85.000
10.650	85.000
10.660	85.000
10.670	85.000
10.680	85.000
10.690	85.000
10.700	85.000
10.710	85.000
10.720	85.000
10.730	85.000
10.740	85.000
10.750	85.000
10.760	85.000
10.770	85.000
10.780	85.000
10.790	85.000
10.800	85.000
10.810	85.000
10.820	85.000
10.830	85.000
10.840	85.000
10.850	85.000
10.860	85.000
10.870	85.000
10.880	85.000
10.890	85.000
10.900	85.000
10.910	85.000
10.920	85.000
10.930	85.000
10.940	85.000
10.950	85.000
10.960	85.000
10.970	85.000
10.980	85.000
10.990	85.000
11.000	85.000
11.010	85.000
11.020	85.000
11.030	85.000
11.040	85.000
11.050	85.000
11.060	85.000
11.070	85.000
11.080	85.000
11.090	85.000
11.100	85.000
11.110	85.000
11.120	85.000
11.130	85.000
11.140	85.000
11.150	85.000
11.160	85.000
11.170	85.000
11.180	85.000
11.190	85.000
11.200	85.000
11.210	85.000
11.220	85.000
11.230	85.000
11.240	85.000
11.250	85.000
11.260	85.000
11.270	85.000
11.280	85.000
11.290	85.000
11.300	85.000
11.310	85.000
11.320	85.000
11.330	85.000
11.340	85.000
11.350	85.000
11.360	85.000
11.370	85.000
11.380	85.000
11.390	85.000
11.400	85.000
11.410	85.000
11.420	85.000
11.430	85.000
11.440	85.000
11.450	85.000
11.460	85.000
11.470	85.000
11.480	85.000
11.490	85.000
11.500	85.000
11.510	85.000
11.520	85.000
11.530	85.000
11.540	85.000
11.550	85.000
11.560	85.000
11.570	85.000
11.580	85.000
11.590	85.000
11.600	85.000
11.610	85.000
11.620	85.000
11.630	85.000
11.640	85.000
11.650	85.000
11.660	85.000
11.670	85.000
11.680	85.000
11.690	85.000
11.700	85.000
11.710	85.000
11.720	85.000
11.730	85.000
11.740	85.000
11.750	85.000
11.760	85.000
11.770	85.000
11.780	85.000
11.790	85.000
11.800	85.000
11.810	85.000
11.820	85.000
11.830	85.000
11.840	85.000
11.850	85.000
11.860	85.000
11.870	85.000
11.880	85.000
11.890	85.000
11.900	85.000
11.910	85.000
11.920	85.000
11.930	85.000
11.940	85.000
11.950	85.000
11.960	85.000
11.970	85.000
11.980	85.000
11.990	85.000
12.000	85.000
12.010	85.000
12.020	85.000
12.030	85.000
12.040	85.000
12.050	85.000
12.060	85.000
12.070	85.000
12.080	85.000
12.090	85.000
12.100	85.000
12.110	85.000
12.120	85.000
12.130	85.000
12.140	85.000
12.150	85.000
12.160	85.000
12.170	85.000
12.180	85.000
12.190	85.000
12.200	85.000
12.210	85.000
12.220	85.000
12.230	85.000
12.240	85.000
12.250	85.000
12.260	85.000
12.270	85.000
12.280	85.000
12.290	85.000
12.300	85.000
12.310	85.000
12.320	85.000
12.330	85.000
12.340	85.000
12.350	85.000
12.360	85.000
12.370	85.000
12.380	85.000
12.390	85.000
12.400	85.000
12.410	85.000
12.420	85.000
12.430	85.000
12.440	85.000
12.450	85.000
12.460	85.000
12.470	85.000
12.480	85.000
12.490	85.000
12.500	85.000
12.510	85.000
12.520	85.000
12.530	85.000
12.540	85.000
12.550	85.000
12.560	85.000
12.570	85.000
12.580	85.000
12.590	85.000
12.600	85.000
12.610	85.000
12.620	85.000
12.630	85.000
12.640	85.000
12.650	85.000
12.660	85.000
12.670	85.000
12.680	85.000
12.690	85.000
12.700	85.000
12.710	85.000
12.720	85.000
12.730	85.000
12.740	85.000
12.750	85.000
12.760	85.000
12.770	85.000
12.780	85.000
12.790	85.000
12.800	85.000
12.810	85.000
12.820	85.000
12.830	85.000
12.840	85.000
12.850	85.000
12.860	85.000
12.870	85.000
12.880	85.000
12.890	85.000
12.900	85.000
12.910	85.000
12.920	85.000
12.930	85.000
12.940	85.000
12.950	85.000
12.960	85.000
12.970	85.000
12.980	85.000
12.990	85.000
13.000	85.000
13.010	85.000
13.020	85.000
13.030	85.000
13.040	85.000
13.050	85.000
13.060	85.000
13.070	85.000
13.080	85.000
13.090	85.000
13.100	85.000
13.110	85.000
13.120	85.000
13.130	85.000
13.140	85.000
13.150	85.000
13.160	85.000
13.170	85.000
13.180	85.000
13.190	85.000
13.200	85.000
13.210	85.000
13.220	85.000
13.230	85.000
13.240	85.000
13.250	85.000
13.260	85.000
13.270	85.000
13.280	85.000
13.290	85.000
13.300	85.000
13.310	85.000
13.320	85.000
13.330	85.000
13.340	85.000
13.350	85.000
13.360	85.000
13.370	85.000
13.380	85.000
13.390	85.000
13.400	85.000
13.410	85.000
13.420	85.000
13.430	85.000
13.440	85.000
13.450	85.000
13.460	85.000
13.470	85.000
13.480	85.000
13.490	85.000
13.500	85.000
13.510	85.000
13.520	85.000
13.530	85.000
13.540	85.000
13.550	85.000
13.560	85.000
13.570	85.000
13.580	85.000
13.590	85.000
13.600	85.000
13.610	85.000
13.620	85.000
13.630	85.000
13.640	85.000
13.650	85.000
13.660	85.000
13.670	85.000
13.680	85.000
13.690	85.000
13.700	85.000
13.710	85.000
13.720	85.000
13.730	85.000
13.740	85.000
13.750	85.000
13.760	85.000
13.770	85.000
13.780	85.000
13.790	85.000
13.800	85.000
13.810	85.000
13.820	85.000
13.830	85.000
13.840	85.000
13.850	85.000
13.860	85.000
13.870	85.000
13.880	85.000
13.890	85.000
13.900	85.000
13.910	85.000
13.920	85.000
13.930	85.000
13.940	85.000
13.950	85.000
13.960	85.000
13.970	85.000
13.980	85.000
13.990	85.000
14.000	85.000
14.010	85.000
14.020	85.000
14.030	85.000
14.040	85.000
14.050	85.000
14.060	85.000
14.070	85.000
14.080	85.000
14.090	85.000
14.100	85.000
14.110	85.000
14.120	85.000
14.130	85.000
14.140	85.000
14.150	85.000
14.160	85.000
14.170	85.000
14.180	85.000
14.190	85.000
14.200	85.000
14.210	85.000
14.220	85.000
14.230	85.000
14.240	85.000
14.250	85.000
14.260	85.000
14.270	85.000
14.280	85.000
14.290	85.000
14.300	85.000
14.310	85.000
14.320	85.000
14.330	85.000
14.340	85.000
14.350	85.000
14.360	85.000
14.370	85.000
14.380	85.000
14.390	85.000
14.400	85.000
14.410	85.000
14.420	85.000
14.430	85.000
14.440	85.000
14.450	85.000
14.460	85.000
14.470	85.000
14.480	85.000
14.490	85.000
14.500	85.000
14.510	85.000
14.520	85.000
14.530	85.000
14.540	85.000
14.550	85.000
14.560	85.000
14.570	85.000
14.580	85.000
14.590	85.000
14.600	85.000
14.610	85.000
14.620	85.000
14.630	85.000
14.640	85.000
14.650	85.000
14.660	85.000
14.670	85.000
14.680	85.000
14.690	85.000
14.700	85.000
14.710	85.000
14.720	85.000
14.730	85.000
14.740	85.000
14.750	85.000
14.760	85.000
14.770	85.000
14.780	85.000
14.790	85.000
14.800	85.000
14.810	85.000
14.820	85.000
14.830	85.000
14.840	85.000
14.850	85.000
14.860	85.000
14.870	85.000
14.880	85.000
14.890	85.000
14.900	85.000
14.910	85.000
14.920	85.000
14.930	85.000
14.940	85.000
14.950	85.000
14.960	85.000
14.970	85.000
14.980	85.000
14.990	85.000
15.000	85.000
15.010	85.000
15.020	85.000
15.030	85.000
15.040	85.000
15.050	85.000
15.060	85.000
15.070	85.000
15.080	85.000
15.090	85.000
15.100	85.000
15.110	85.000
15.120	85.000
15.130	85.000
15.140	85.000
15.150	85.000
15.160	85.000
15.170	85.000
15.180	85.000
15.190	85.000
15.200	85.000
15.210	85.000
15.220	85.000
15.230	85.000
15.240	85.000
15.250	85.000
15.260	85.000
15.270	85.000
15.280	85.000
15.290	85.000
15.300	85.000
15.310	85.000
15.320	85.000
15.330	85.000
15.340	85.000
15.350	85.000
15.360	85.000
15.370	85.000
15.380	85.000
15.390	85.000
15.400	85.000
15.410	85.000
15.420	85.000
15.430	85.000
15.440	85.000
15.450	85.000
15.460	85.000
15.470	85.000
15.480	85.000
15.490	85.000
15.500	85.000
15.510	85.000
15.520	85.000
15.530	85.000
15.540	85.000
15.550	85.000
15.560	85.000
15.570	85.000
15.580	85.000
15.590	85.000
15.600	85.000
15.610	85.000
15.620	85.000
15.630	85.000
15.640	85.000
15.650	85.000
15.660	85.000
15.670	85.000
15.680	85.000
15.690	85.000
15.700	85.000
15.710	85.000
15.720	85.000
15.730	85.000
15.740	85.000
15.750	85.000
15.760	85.000
15.770	85.000
15.780	85.000
15.790	85.000
15.800	85.000
15.810	85.000
15.820	85.000
15.830	85.000
15.840	85.000
15.850	85.000
15.860	85.000
15.870	85.000
15.880	85.000
15.890	85.000
15.900	85.000
15.910	85.000
15.920	85.000
15.930	85.000
15.940	85.000
15.950	85.000
15.960	85.000
15.970	85.000
15.980	85.000
15.990	85.000
16.000	85.000
16.010	85.000
16.020	85.000
16.030	85.000
16.040	85.000
16.050	85.000
16.060	85.000
16.070	85.000
16.080	85.000
16.090	85.000
16.100	85.000
16.110	85.000
16.120	85.000
16.130	85.000
16.140	85.000
16.150	85.000
16.160	85.000
16.170	85.000
16.180	85.000
16.190	85.000
16.200	85.000
16.210	85.000
16.220	85.000
16.230	85.000
16.240	85.000
16.250	85.000
16.260	85.000
16.270	85.000
16.280	85.000
16.290	85.000
16.300	85.000
16.310	85.000
16.320	85.000
16.330	85.000
16.340	85.000
16.350	85.000
16.360	85.000
16.370	85.000
16.380	85.000
16.390	85.000
16.400	85.000
16.410	85.000
16.420	85.000
16.430	85.000
16.440	85.000
16.450	85.000
16.460	85.000
16.470	85.000
16.480	85.000
16.490	85.000
16.500	85.000
16.510	85.000
16.520	85.000
16.530	85.000
16.540	85.000
16.550	85.000
16.560	85.000
16.570	85.000
16.580	85.000
16.590	85.000
16.600	85.000
16.610	85.000
16.620	85.000
16.630	85.000
16.640	85.000
16.650	85.000
16.660	85.000
16.670	85.000
16.680	85.000
16.690	85.000
16.700	85.000
16.710	85.000
16.720	85.000
16.730	85.000
16.740	85.000
16.750	85.000
16.760	85.000
16.770	85.000
16.780	85.000
16.790	85.000
16.800	85.000
16.810	85.000
16.820	85.000
16.830	85.000
16.840	85.000
16.850	85.000
16.860	85.000
16.870	85.000
16.880	85.000
16.890	85.000
16.900	85.000
16.910	85.000
16.920	85.000
16.930	85.000
16.940	85.000
16.950	85.000
16.960	85.000
16.970	85.000
16.980	85.000
16.990	85.000
17.000	85.000
17.010	85.000
17.020	85.000
17.030	85.000
17.040	85.000
17.050	85.000
17.060	85.000
17.070	85.000
17.080	85.000
17.090	85.000
17.100	85.000
17.110	85.000
17.120	85.000
17.130	85.000
17.140	85.000
17.150	85.000
17.160	85.000
17.170	85.000
17.180	85.000
17.190	85.000
17.200	85.000
17.210	85.000
17.220	85.000
17.230	85.000
17.240	85.000
17.250	85.000
17.260	85.000
17.270	85.000
17.280	85.000
17.290	85.000
17.300	85.000
17.310	85.000
17.320	85.000
17.330	85.000
17.340	85.000
17.350	85.000
17.360	85.000
17.370	85.000
17.380	85.000
17.390	85.000
17.400	85.000
17.410	85.000
17.420	85.000
17.430	85.000
17.440	85.000
17.450	85.000
17.460	85.000
